old_level;old_parent;old_child;new_level;new_parent;new_child;leaf
3;Marketing, Media and PR;Account Management;3;Marketing, Media and PR Jobs;Marketing Jobs;" "
3;Marketing, Media and PR;Business Development;3;Marketing, Media and PR Jobs;Marketing Jobs;" "
3;Marketing, Media and PR;Design and Creative;3;Marketing, Media and PR Jobs;Design and Creative Jobs;" "
3;Marketing, Media and PR;Editorial and Content;3;Marketing, Media and PR Jobs;Writing Jobs;" "
3;Marketing, Media and PR;Film, TV and Production;3;Marketing, Media and PR Jobs;Design and Creative Jobs;" "
3;Marketing, Media and PR;General Marketing;3;Marketing, Media and PR Jobs;Marketing Jobs;" "
3;Marketing, Media and PR;PR and Communications;3;Marketing, Media and PR Jobs;PR Jobs;" "
3;Marketing, Media and PR;SEO and PPC;3;Marketing, Media and PR Jobs;Digital Marketing, SEO and PPC Jobs;" "
3;Marketing, Media and PR;Social Media;3;Marketing, Media and PR Jobs;Digital Marketing, SEO and PPC Jobs;" "
2;jobs;Babysitting and Nannies;3;Childcare Jobs;Babysitting Jobs;" "
2;jobs;Banking, Settlements and Insurance;3;Accountancy and Finance Jobs;Banking Jobs;" "
2;jobs;Caretaking and Handymen;3;General Jobs;Handyman Jobs;" "
2;jobs;Charity and Volunteering;3;Charity, Non-Profit and Volunteering Jobs;Other Charity, Non-Profit, and Volunteering Jobs;" "
2;jobs;"Chefs, Cooks and Kitchen ";4;Hospitality and Catering Jobs;Food and Beverage Jobs;Chef Jobs
3;Web Development and IT;Project Management and Business Analysis;3;Computing and IT Jobs;Business Analyst Jobs;" "
3;Web Development and IT;Web Design and Usability;3;Computing and IT Jobs;Web Design Jobs;" "
3;Web Development and IT;Web Development, Programming and Testing;3;Computing and IT Jobs;Web Developer Jobs;" "
3;Web Development and IT;Web Support, Database and Systems Admin;3;Computing and IT Jobs;IT Support Jobs;" "
3;"Construction and Engineering ";Architecture and Engineering;3;Construction, Tradesmen and Property Jobs;Architecture Jobs;" "
3;"Construction and Engineering ";Carpenter and Joiner;3;Construction, Tradesmen and Property Jobs;Carpentary and Joinery Jobs;" "
3;"Construction and Engineering ";Building Services and Maintenance;3;Construction, Tradesmen and Property Jobs;Building Service and Maintenance Jobs;" "
3;"Construction and Engineering ";Tradesmen and Labour;3;Construction, Tradesmen and Property Jobs;Labourer Jobs;" "
2;jobs;"Data Entry and Junior Admin ";3;Office, Admin and PA Jobs;Data Entry;" "
2;jobs;"Dentist and Dental Hygiene ";3;Healthcare and Medicine Jobs;Dental Jobs;" "
3;"Driving and Warehouse ";Drivers and Couriers;4;Automotive Jobs;Driver Jobs;Delivery Driver Jobs
3;"Driving and Warehouse ";Warehouse Jobs;3;General Jobs;Warehouse Jobs;" "
2;jobs;Equestrian Jobs;3;Farming, Gardening and Pet Jobs;Equine Jobs;" "
2;jobs;Farming Jobs;3;Farming, Gardening and Pet Jobs;Farming Jobs;" "
2;jobs;Flyering;3;General Jobs;Flyering Jobs;" "
2;jobs;Garden and Landscape;3;Farming, Gardening and Pet Jobs;Gardening and Landscaping Jobs;" "
2;jobs;"Graphic Design and Fashion ";3;Marketing, Media and PR Jobs;Design and Creative Jobs;" "
3;Health and Beauty;Beauty and Nails;3;Health, Beauty and Fitness Jobs;Spa and Beauty Jobs;" "
3;Health and Beauty;Diet and Fitness;3;Health, Beauty and Fitness Jobs;Gym and Fitness Jobs;" "
3;Health and Beauty;Hairdressing and Styling;3;Health, Beauty and Fitness Jobs;Hairdressing and Styling Jobs;" "
3;Healthcare;Biotechnology and Pharmaceutical;3;Healthcare and Medicine Jobs;Pharmaceutical Jobs;" "
3;Healthcare;Medical and Nursing;3;Healthcare and Medicine Jobs;Medical Jobs;" "
3;Healthcare;Occupational Therapy;3;Healthcare and Medicine Jobs;Occupational Therapy Jobs;" "
3;Healthcare;Physiotherapy;3;Healthcare and Medicine Jobs;Physiotherapy Jobs;" "
2;jobs;Host Families;3;General Jobs;Host Families;" "
2;jobs;Hotel Jobs;3;Hospitality and Catering Jobs;Hotel Management and Admin Jobs;" "
2;jobs;"Housekeeping and Cleaning ";3;General Jobs;Housekeeping and Cleaning Jobs;" "
3;"Legal and Paralegal ";Conveyancing and Paralegal;3;Law Jobs;Licenced Conveyancing Jobs;" "
3;"Legal and Paralegal ";Legal Secretarial and Admin;3;Law Jobs;Legal Secretary Jobs;" "
3;"Legal and Paralegal ";Qualified Solicitor;3;Law Jobs;Solicitor Jobs;" "
2;jobs;"Marine Jobs ";3;General Jobs;Manufacturing Jobs;" "
2;jobs;"Mechanics and Automotive ";4;Automotive Jobs;Aftermarket Jobs;Mechanic Jobs
2;jobs;"Modelling and Promotions ";3;General Jobs;Modelling Jobs;" "
2;jobs;"Music Jobs ";3;General Jobs;Music Jobs;" "
2;jobs;Reception and Customer Service;3;Office, Admin and PA Jobs;Receptionist Jobs;" "
2;jobs;"Recruitment, HR and Training ";3;Recruitment and HR Jobs;Recruitment Consultant Jobs;" "
2;jobs;Retail Jobs;3;Sales, Retail and Customer Service Jobs;Retail Jobs;" "
2;jobs;"Sales Jobs ";3;Sales, Retail and Customer Service Jobs;Sales Jobs;" "
2;jobs;"Seasonal and Overseas Jobs ";3;"Seasonal and Overseas Jobs ";Summer Season Jobs;" "
2;jobs;"Secretarial, PAs and Admin ";3;Office, Admin and PA Jobs;Secretarial Jobs;" "
2;jobs;Security Jobs;3;General Jobs;Security Jobs;" "
3;Social Care and Home Help;Domiciliary Care;3;Home and Social Care Jobs;Domiciliary Care Jobs;" "
3;Social Care and Home Help;Live-In Care;3;Home and Social Care Jobs;Care Assistant Jobs;" "
3;Social Care and Home Help;Social Work;3;Home and Social Care Jobs;Social Work Jobs;" "
2;jobs;Sports and Healthclub;3;Health, Beauty and Fitness Jobs;Sports and Healthclub Jobs;" "
2;jobs;Student and Graduate;3;Graduate Jobs and Apprenticeships;Graduate Jobs;" "
3;"Teaching, Teacher and Nursery ";Fitness Teachers;3;Health, Beauty and Fitness Jobs;Gym and Fitness Jobs;" "
3;"Teaching, Teacher and Nursery ";Languages;3;Education Jobs;Language Teaching Jobs;" "
3;"Teaching, Teacher and Nursery ";Managerial;3;Education Jobs;"Other Education Jobs ";" "
3;"Teaching, Teacher and Nursery ";Primary and Nursery;3;Education Jobs;Primary Teaching Jobs;" "
3;"Teaching, Teacher and Nursery ";Private Tutoring;3;Education Jobs;Tutoring Jobs;" "
3;"Teaching, Teacher and Nursery ";Secondary and Higher Education;3;Education Jobs;Secondary Teaching Jobs;" "
3;"Teaching, Teacher and Nursery ";"Special Education ";3;Education Jobs;Special Educational Needs Jobs;" "
3;"Teaching, Teacher and Nursery ";Teaching Assistants;3;Education Jobs;Teaching Assistant Jobs;" "
2;jobs;Telesales;3;Sales, Retail and Customer Service Jobs;Telesales Jobs;" "
2;jobs;Veterinary and Animal Care;3;Farming, Gardening and Pet Jobs;Veterinary Jobs;" "
2;jobs;Waiting and Restaurant;4;Hospitality and Catering Jobs;Food and Beverage Jobs;Waiting Staff Jobs
2;jobs;General Jobs;3;General Jobs;Other General Jobs;" "
