"Id","Label","Title","Sub title","Description","Category id","Upsell ids pipe separated","Price","Main Category","Email Template","Value","Print duration","Role","Location groups pipe separated","Package Type","Package sr no.","Admin price","Admin print duration"
1,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing</li></ul>",2,,0,"For Sale",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
2,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'urgent'</li></ul>",2,"11|6",2,"For Sale",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,2,
3,"BEST FOR QUICK RESULTS","Get on Top","Sell even quicker","<ul><li>Boost your ad to the top of the listings</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",2,"11|5",3,"For Sale",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,3,
4,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your ad promoted on the Friday-Ad homepage!</li><li>Boost your ad to the top of the listings</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",2,"11|5|37",7,"For Sale",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,7,
5,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",2,"11|5",3,"For Sale",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,3,
6,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your ad printed with a photo in your local Friday-Ad paper.</li><li>Boost your ad to the top of the listings online</li><li>Your ad will be labelled 'featured'</li></ul>",2,"11|6|7|10",3,"For Sale",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|3,2w|4.50,4w|7.20",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,3,"1w|3,2w|4.50,4w|7.20"
7,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your ad printed with a photo in three editions of the Friday-Ad paper</li><li>Your ad promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your ad to the top of the listings online</li><li>Your ad will be labelled 'featured' and appear top of the online listings</li></ul>",2,"11|5|37|8|10",10,"For Sale",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|10,2w|15,4w|24",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,10,"1w|10,2w|15,4w|24"
8,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing</li></ul>",159,,0,"For Sale -> Home and Garden -> Furniture",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
9,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'urgent'</li></ul>",159,"11|6",5,"For Sale -> Home and Garden -> Furniture",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,5,
10,"BEST FOR QUICK RESULTS","Get on Top","Sell even quicker","<ul><li>Boost your ad to the top of the listings</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",159,"11|5",7,"For Sale -> Home and Garden -> Furniture",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,7,
11,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your ad promoted on the Friday-Ad homepage!</li><li>Boost your ad to the top of the listings</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",159,"11|5|37",10,"For Sale -> Home and Garden -> Furniture",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,10,
12,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",159,"11|5",7,"For Sale -> Home and Garden -> Furniture",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,7,
13,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your ad printed with a photo in your local Friday-Ad paper.</li><li>Boost your ad to the top of the listings online</li><li>Your ad will be labelled 'featured'</li></ul>",159,"11|6|7|10",7,"For Sale -> Home and Garden -> Furniture",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|7,2w|10.50,4w|16.80",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,7,"1w|7,2w|10.50,4w|16.80"
14,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your ad printed with a photo in three editions of the Friday-Ad paper</li><li>Your ad promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your ad to the top of the listings online</li><li>Your ad will be labelled 'featured' and appear top of the online listings</li></ul>",159,"11|5|37|8|10",15,"For Sale -> Home and Garden -> Furniture",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|15,2w|22.50,4w|36",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,15,"1w|15,2w|22.50,4w|36"
15,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing</li></ul>",408,,0,"For Sale -> Leisure -> Sports Equipment",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
16,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'urgent'</li></ul>",408,"11|6",5,"For Sale -> Leisure -> Sports Equipment",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,5,
17,"BEST FOR QUICK RESULTS","Get on Top","Sell even quicker","<ul><li>Boost your ad to the top of the listings</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",408,"11|5",7,"For Sale -> Leisure -> Sports Equipment",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,7,
18,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your ad promoted on the Friday-Ad homepage!</li><li>Boost your ad to the top of the listings</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",408,"11|5|37",10,"For Sale -> Leisure -> Sports Equipment",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,10,
19,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",408,"11|5",7,"For Sale -> Leisure -> Sports Equipment",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,7,
20,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your ad printed with a photo in your local Friday-Ad paper.</li><li>Boost your ad to the top of the listings online</li><li>Your ad will be labelled 'featured'</li></ul>",408,"11|6|7|10",7,"For Sale -> Leisure -> Sports Equipment",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|7,2w|10.50,4w|16.80",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,7,"1w|7,2w|10.50,4w|16.80"
21,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your ad printed with a photo in three editions of the Friday-Ad paper</li><li>Your ad promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your ad to the top of the listings online</li><li>Your ad will be labelled 'featured' and appear top of the online listings</li></ul>",408,"11|5|37|8|10",15,"For Sale -> Leisure -> Sports Equipment",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|15,2w|22.50,4w|36",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,15,"1w|15,2w|22.50,4w|36"
51,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing</li></ul>",291,,0,"For Sale -> Home and Garden -> Heating and Cooling",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
52,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'urgent'</li></ul>",291,"11|6",5,"For Sale -> Home and Garden -> Heating and Cooling",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,5,
53,"BEST FOR QUICK RESULTS","Get on Top","Sell even quicker","<ul><li>Boost your ad to the top of the listings</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",291,"11|5",7,"For Sale -> Home and Garden -> Heating and Cooling",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,7,
54,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your ad promoted on the Friday-Ad homepage!</li><li>Boost your ad to the top of the listings</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",291,"11|5|37",10,"For Sale -> Home and Garden -> Heating and Cooling",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,10,
55,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",291,"11|5",7,"For Sale -> Home and Garden -> Heating and Cooling",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,7,
56,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your ad printed with a photo in your local Friday-Ad paper.</li><li>Boost your ad to the top of the listings online</li><li>Your ad will be labelled 'featured'</li></ul>",291,"11|6|7|10",7,"For Sale -> Home and Garden -> Heating and Cooling",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|7,2w|10.50,4w|16.80",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,7,"1w|7,2w|10.50,4w|16.80"
57,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your ad printed with a photo in three editions of the Friday-Ad paper</li><li>Your ad promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your ad to the top of the listings online</li><li>Your ad will be labelled 'featured' and appear top of the online listings</li></ul>",291,"11|5|37|8|10",15,"For Sale -> Home and Garden -> Heating and Cooling",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|15,2w|22.50,4w|36",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,15,"1w|15,2w|22.50,4w|36"
58,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing</li></ul>",284,,0,"For Sale -> Home and Garden -> Health",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
59,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'urgent'</li></ul>",284,"11|6",5,"For Sale -> Home and Garden -> Health",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,5,
60,"BEST FOR QUICK RESULTS","Get on Top","Sell even quicker","<ul><li>Boost your ad to the top of the listings</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",284,"11|5",7,"For Sale -> Home and Garden -> Health",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,7,
61,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your ad promoted on the Friday-Ad homepage!</li><li>Boost your ad to the top of the listings</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",284,"11|5|37",10,"For Sale -> Home and Garden -> Health",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,10,
62,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",284,"11|5",7,"For Sale -> Home and Garden -> Health",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,7,
63,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your ad printed with a photo in your local Friday-Ad paper.</li><li>Boost your ad to the top of the listings online</li><li>Your ad will be labelled 'featured'</li></ul>",284,"11|6|7|10",7,"For Sale -> Home and Garden -> Health",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|7,2w|10.50,4w|16.80",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,7,"1w|7,2w|10.50,4w|16.80"
64,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your ad printed with a photo in three editions of the Friday-Ad paper</li><li>Your ad promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your ad to the top of the listings online</li><li>Your ad will be labelled 'featured' and appear top of the online listings</li></ul>",284,"11|5|37|8|10",15,"For Sale -> Home and Garden -> Health",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|15,2w|22.50,4w|36",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,15,"1w|15,2w|22.50,4w|36"
65,"YOUR CURRENT AD TYPE","Get Basic","Live in a matter of minutes...","<ul><li>Basic online listing for your vehicle</li></ul>",444,2,0,"Motors",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,5,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
66,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your vehicle","<ul><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",444,6,5.99,"Motors",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,5,13,"Non Print Package 1",2,5.99,
67,"BEST FOR QUICK RESULTS","Get on Top","More views on your vehicle","<ul><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|22",7.99,"Motors",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,5,13,"Non Print Package 2",3,7.99,
68,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your motor listing promoted on the Friday-Ad homepage!</li><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings above your competition</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|22|37",14.99,"Motors",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,5,13,"Non Print Package 3",4,14.99,
69,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your vehicle","<ul><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",444,"11|6",7.99,"Motors",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,5,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,7.99,
70,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your vehicle printed with a photo in your local Friday-Ad paper.</li><li>Boost your motor listing to the top of the results each week online</li><li>Your ad with be labelled 'featured'</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|8|22",16.99,"Motors",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|16.99,2w|24.99,4w|39.99",5,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,16.99,"1w|16.99,2w|24.99,4w|39.99"
71,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your vehicle printed with a photo/logo in five editions of the Friday-Ad paper</li><li>Your vehicle promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your motor listing to the top of the results each week online</li><li>Your ad with be labelled 'featured' and appear top of the online listings</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|37|9|22",29.99,"Motors",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|29.99,2w|44.99,4w|69.99",5,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,29.99,"1w|29.99,2w|44.99,4w|69.99"
72,"YOUR CURRENT AD TYPE","Get Basic","Live in a matter of minutes...","<ul><li>Basic online listing for your vehicle</li></ul>",444,2,5,"Motors",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,6,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,5,
73,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your vehicle","<ul><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",444,6,5.99,"Motors",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,6,13,"Non Print Package 1",2,5.99,
