"Id","Label","Title","Sub title","Description","Category id","Upsell ids pipe separated","Price","Main Category","Email Template","Value","Print duration","Role","Location groups pipe separated","Package Type","Package sr no.","Admin price","Admin print duration"
74,"BEST FOR QUICK RESULTS","Get on Top","More views on your vehicle","<ul><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|22",7.99,"Motors",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,6,13,"Non Print Package 2",3,7.99,
75,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your motor listing promoted on the Friday-Ad homepage!</li><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings above your competition</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|22|37",14.99,"Motors",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,6,13,"Non Print Package 3",4,14.99,
76,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your vehicle","<ul><li>Boost your motor listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",444,"11|6",7.99,"Motors",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,6,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,7.99,
77,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your vehicle printed with a photo in your local Friday-Ad paper.</li><li>Boost your motor listing to the top of the results each week online</li><li>Your ad with be labelled 'featured'</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|8|22",16.99,"Motors",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|16.99,2w|24.99,4w|39.99",6,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,16.99,"1w|16.99,2w|24.99,4w|39.99"
78,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your vehicle printed with a photo/logo in five editions of the Friday-Ad paper</li><li>Your vehicle promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your motor listing to the top of the results each week online</li><li>Your ad with be labelled 'featured' and appear top of the online listings</li><li>A accurate valuation of your vehicle to give you the best selling price</li></ul>",444,"11|5|37|9|22",29.99,"Motors",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|29.99,2w|44.99,4w|69.99",6,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,29.99,"1w|29.99,2w|44.99,4w|69.99"
79,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing for your local service</li></ul>",585,,0,"Services",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
80,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your business","<ul><li>Boost your business listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",585,"11|6",7,"Services",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,7,
81,"BEST FOR QUICK RESULTS","Get on Top","More customers for your business","<ul><li>Boost your business listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings</li></ul>",585,"11|5",10,"Services",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,10,
82,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your business promoted on the Friday-Ad homepage!</li><li>Boost your business listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings above your competition</li></ul>",585,"11|5|37",15,"Services",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,15,
83,"OUR MOST POPULAR OPTION","Go Urgent","More views on your business!","<ul><li>Boost your business listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",585,"11|5",10,"Services",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,10,
84,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your business printed with a photo/logo in your local Friday-Ad paper.</li><li>Boost your business listing to the top of the results each week online</li><li>Your ad with be labelled 'featured'</li></ul>",585,"11|5|7",15,"Services",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|15,4w|48,12w|120",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,15,"1w|15,4w|48,12w|120"
85,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your business printed with a photo/logo in five editions of the Friday-Ad paper</li><li>Your business promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your business listing to the top of the results each week online</li><li>Your ad with be labelled 'featured' and appear top of the online listings</li></ul>",585,"11|5|37|9",25,"Services",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|25,4w|80,12w|200",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,25,"1w|25,4w|80,12w|200"
86,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing</li></ul>",783,,0,"Community",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
87,"OUR MOST POPULAR OPTION","Go Urgent","Get seen first","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad with be labelled 'urgent'</li></ul>",783,"11|6",5,"Community",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,5,
88,"BEST FOR QUICK RESULTS","Get on Top","More views on your ad!","<ul><li>Boost your ad to the top of the listings</li><li>Your ad with be labelled 'featured and appear top of the listings</li></ul>",783,"11|5",8,"Community",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,8,
89,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your ad promoted on the Friday-Ad homepage!</li><li>Boost your ad to the top of the listings</li><li>Your ad with be labelled 'featured and appear top of the listings</li></ul>",783,"11|5|37",15,"Community",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,15,
90,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",783,"11|5",8,"Community",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,8,
91,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for promoting local events and announcements","<ul><li>Your ad printed with a photo in your local Friday-Ad paper.</li><li>Boost your ad to the top of the listings online</li><li>Your ad with be labelled 'featured'</li></ul>",783,"11|5|7",12,"Community",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|12,4w|36,8w|59",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,12,"1w|12,4w|36,8w|59"
92,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your ad printed with a photo in five editions of the Friday-Ad paper</li><li>Your ad promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your ad to the top of the listings online</li><li>Your ad with be labelled 'featured' and appear top of the online listings</li></ul>",783,"11|5|37|9",20,"Community",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|20,4w|60,8w|99",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,20,"1w|20,4w|60,8w|99"
93,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing for your property</li></ul>",678,,0,"Property",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
94,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your property","<ul><li>Boost your property listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",678,"11|6",7,"Property",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,7,
95,"BEST FOR QUICK RESULTS","Get on Top","More views on your property","<ul><li>Boost your property listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings</li></ul>",678,"11|5",10,"Property",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,10,
96,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your property listing promoted on the Friday-Ad homepage!</li><li>Boost your property listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings above your competition</li></ul>",678,"11|5|37",20,"Property",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,20,
97,"OUR MOST POPULAR OPTION","Go Urgent","More views on your property","<ul><li>Boost your motor listing to the top of the results each week</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",678,"11|5",10,"Property",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,10,
98,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your property printed with a photo in your local Friday-Ad paper.</li><li>Boost your property listing to the top of the results each week online</li><li>Your ad with be labelled 'featured'</li></ul>",678,"11|5|7|10",14,"Property",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|14,3w|28,8w|56",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,14,"1w|14,3w|28,8w|56"
99,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your property printed with a photo/logo in three editions of the Friday-Ad paper</li><li>Your property promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your property listing to the top of the results each week online</li><li>Your ad with be labelled 'featured' and appear top of the online listings</li></ul>",678,"11|5|37|8|10",20,"Property",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|20,3w|40,8w|80",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,20,"1w|20,3w|40,8w|80"
100,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing for your vacancy</li></ul>",500,,0,"Jobs",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
101,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your vacancy","<ul><li>Boost your job listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",500,"11|6",12,"Jobs",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,12,
102,"BEST FOR QUICK RESULTS","Get on Top","More views on your vacancy","<ul><li>Boost your job listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings</li></ul>",500,"11|5",20,"Jobs",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,20,
103,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your job listing promoted on the Friday-Ad homepage!</li><li>Boost your job listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings above your competition</li></ul>",500,"11|5|37",30,"Jobs",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,30,
104,"OUR MOST POPULAR OPTION","Go Urgent","More views on your vacancy","<ul><li>Boost your job listing to the top of the results each week</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",500,"11|5",20,"Jobs",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,20,
105,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your vacany printed with a photo in your local Friday-Ad paper.</li><li>Boost your job listing to the top of the results each week online</li><li>Your ad with be labelled 'featured'</li></ul>",500,"11|5|7|10",25,"Jobs",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|25,2w|37.50,4w|60",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,25,"1w|25,2w|37.50,4w|60"
106,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your job printed with a photo/logo in five editions of the Friday-Ad paper</li><li>Your vacancy promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your job listing to the top of the results each week online</li><li>Your ad with be labelled 'featured' and appear top of the online listings</li></ul>",500,"11|5|37|9",50,"Jobs",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|50,2w|75,4w|120",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,50,"1w|50,2w|75,4w|120"
107,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing for your animal</li></ul>",725,,0,"Animals",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,0,
108,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",725,"11|6",5,"Animals",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,5,
109,"BEST FOR QUICK RESULTS","Get on Top","Sell even quicker","<ul><li>Boost your ad to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings</li></ul>",725,"11|5",120,"Animals",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,120,
110,"MAXIMUM EXPOSURE","Go Premium","Get Maximum exposure!","<ul><li>Your business promoted on the Friday-Ad homepage!</li><li>Boost your ad to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings above your competition</li></ul>",725,"11|5|37",20,"Animals",10,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 3",4,20,
111,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad to the top of the listings each week</li><li>Your ad will be labelled 'featured' and appear top of the listings</li></ul>",725,"11|5",10,"Animals",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,10,
112,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your ad printed with a photo in your local Friday-Ad paper.</li><li>Boost your ad to the top of the listings online</li><li>Your ad with be labelled 'featured'</li></ul>",725,"11|5|8|10",15,"Animals",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|15,2w|22.50,4w|36",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,15,"1w|15,2w|22.50,4w|36"
113,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your ad printed with a photo in five  editions of the Friday-Ad paper</li><li>Your ad promoted on the Friday-Ad.co.uk homepage!</li><li>Boost your ad to the top of the listings online</li><li>Your ad with be labelled 'featured' and appear top of the online listings</li></ul>",725,"11|5|37|9|10",20,"Animals",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|20,2w|30,4w|48",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,20,"1w|20,2w|30,4w|48"
114,"YOUR CURRENT AD TYPE","Get FREE","Live in a matter of minutes...","<ul><li>Basic online listing for your service</li></ul>",3411,,30,"Adult",7,"title_class:pkg-gray-head, btn_class:primary-btn-3",,,"1|2|3|4|5|6|7|8|9|10|11|12|13","Free",1,30,
115,"OUR MOST POPULAR OPTION","Go Urgent","More eyes on your ad","<ul><li>Boost your ad to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",3411,"11|6",45,"Adult",8,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 1",2,45,
116,"BEST FOR QUICK RESULTS","Get on Top","More response to your ad","<ul><li>Boost your ad listing to the top of the results each week</li><li>Your ad with be labelled 'featured and appear top of the listings above your competiton</li></ul>",3411,"11|5",50,"Adult",9,"title_class:pkg-blue-head, btn_class:primary-btn-1",,,13,"Non Print Package 2",3,50,
117,"OUR MOST POPULAR OPTION","Go Urgent","More views on your ad!","<ul><li>Boost your ad listing to the top of the results each week</li><li>Your ad with be labelled 'urgent'</li></ul>",3411,"11|5",50,"Adult",8,"title_class:pkg-green-head, btn_class:primary-btn-2",,,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 1",5,50,
118,"BEST FOR QUICK RESULTS","Get in Print","Your No1 publication for buying and selling","<ul><li>Your service printed with a photo in your local Friday-Ad paper.</li><li>Boost your ad listing to the top of the results each week online</li><li>Your ad with be labelled 'featured and appear top of the listings above your competiton</li></ul>",3411,"11|7|10|5",80,"Adult",11,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|80,2w|120,4w|190",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 2",6,80,"1w|80,2w|120,4w|190"
119,"MAXIMUM EXPOSURE","Go Premium Print","Get maximum print exposure!","<ul><li>Your ad printed with a photo/logo in three editions of the Friday-Ad paper</li><li>Boost your ad listing to the top of the results each week online</li><li>Your ad with be labelled 'featured and appear top of the listings above your competiton</li></ul>",3411,"11|5|8|10",100,"Adult",12,"title_class:pkg-green-head, btn_class:primary-btn-2","1w|100,2w|150,4w|240",,"1|2|3|4|5|6|7|8|9|10|11|12","Print Area Package 3",7,100,"1w|100,2w|150,4w|240"